"id","attrition_flag","customer_age","gender","education_level","income_category","total_relationship_count","months_inactive_12_mon","credit_limit","total_revolving_bal","total_amt_chng_q4_q1","total_trans_amt","total_trans_ct","total_ct_chng_q4_q1","avg_utilization_ratio"
8805,0,27,"F","Post-Graduate","Less than $40K",3,2,1438.3,990,0.715,3855,73,1.147,0.688
4231,0,42,"F","College","Less than $40K",6,4,3050,1824,0.771,1973,50,1.381,0.598
5263,1,47,"F","Unknown","Less than $40K",3,3,1561,0,0.502,1947,28,0.556,0
2072,0,44,"M","Uneducated","$80K - $120K",1,3,25428,1528,0.725,13360,97,0.796,0.06
7412,0,54,"M","Graduate","$60K - $80K",3,3,2947,2216,0.76,1744,53,0.606,0.752
6142,0,51,"M","Graduate","$120K +",3,2,34516,1763,1.266,1550,41,1.05,0.051
558,0,37,"F","College","$40K - $60K",2,1,3680,683,0.85,4835,77,0.75,0.186
1046,0,38,"F","Graduate","Unknown",2,3,9830,2055,0.977,1042,23,0.917,0.209
576,0,45,"F","Post-Graduate","Less than $40K",3,4,5216,1519,0.887,3434,49,0.69,0.291
2942,0,63,"M","High School","$60K - $80K",6,2,2567,0,1.636,2399,43,0.955,0
8801,0,44,"F","Graduate","$40K - $60K",1,1,3107,1995,0.668,7535,87,0.673,0.642
1653,0,47,"M","Uneducated","$80K - $120K",3,3,34010,1340,0.744,1739,39,0.5,0.039
9165,1,43,"M","Post-Graduate","$60K - $80K",2,3,17306,0,0.4,6205,65,0.806,0
7098,1,42,"F","Uneducated","Less than $40K",4,3,3241,0,0.442,2152,43,0.303,0
3522,0,44,"M","Uneducated","Less than $40K",5,3,8837,2103,0.559,3753,60,0.875,0.238
4820,0,52,"F","Uneducated","Less than $40K",3,2,5299,578,0.931,4509,79,0.717,0.109
9615,0,48,"M","High School","$60K - $80K",4,3,5448,0,0.549,3912,72,0.565,0
4590,0,49,"M","High School","$120K +",1,2,21680,1587,0.605,4410,86,0.72,0.073
9346,0,54,"F","High School","$40K - $60K",2,4,3089,1177,1.01,5237,75,0.829,0.381
6550,0,45,"F","Uneducated","Unknown",4,3,15875,1719,0.86,1592,37,1.467,0.108
1179,0,53,"F","Graduate","$40K - $60K",2,1,9815,1699,0.62,7962,89,0.561,0.173
7073,0,35,"F","High School","Less than $40K",3,3,2189,1833,0.56,4530,72,0.846,0.837
9236,0,53,"M","Graduate","$60K - $80K",6,4,16320,0,0.757,1279,41,0.708,0
1074,0,36,"F","Unknown","Unknown",6,1,2222,0,0.769,4095,65,0.912,0
8479,0,46,"M","Uneducated","$120K +",4,2,34516,2213,0.584,4492,71,0.821,0.064
2811,0,51,"F","Graduate","Less than $40K",2,2,5118,980,0.786,14593,109,0.627,0.191
7279,0,57,"M","Graduate","$60K - $80K",4,1,2480,1584,0.874,3438,66,0.784,0.639
1736,1,52,"F","High School","Unknown",1,3,2233,1790,0.798,2888,50,0.562,0.802
5117,0,50,"F","College","Less than $40K",3,2,8416,1549,0.643,13988,124,0.771,0.184
